Date,Location,Victim Age,Victim Gender,Method of Killing
01-01-2023,Urban,41,Female,Shooting
01-01-2023,Suburban,45,Male,Stabbing
02-01-2023,Rural,25,Female,Shooting
02-01-2023,Urban,20,Female,Strangulation
02-01-2023,Urban,35,Male,Poisoning
03-01-2023,Urban,23,Male,Strangulation
03-01-2023,Rural,50,Male,Suffocation
03-01-2023,Urban,30,Female,Poisoning
04-01-2023,Urban,44,Male,Shooting
04-01-2023,Suburban,40,Female,Strangulation
05-01-2023,Urban,33,Female,Suffocation
05-01-2023,Rural,51,Male,Shooting
05-01-2023,Urban,49,Male,Suffocation
06-01-2023,Suburban,27,Female,Stabbing
06-01-2023,Rural,55,Male,Suffocation
06-01-2023,Rural,25,Male,Strangulation
06-01-2023,Rural,55,Male,Stabbing
07-01-2023,Urban,44,Male,Shooting
07-01-2023,Urban,42,Female,Shooting
08-01-2023,Suburban,29,Female,Poisoning
08-01-2023,Urban,58,Male,Stabbing
08-01-2023,Rural,47,Male,Poisoning
09-01-2023,Urban,36,Male,Strangulation
09-01-2023,Urban,23,Female,Strangulation
09-01-2023,Suburban,40,Female,Suffocation
09-01-2023,Urban,30,Female,Shooting
10-01-2023,Suburban,43,Male,Shooting
10-01-2023,Urban,45,Male,Suffocation
